Name,Price
Xiaomi Redmi Note 7 (64GB),"164,79 €"
Xiaomi Redmi Note 6 Pro (64GB),"154,79 €"
Samsung Galaxy A50 Dual (4GB/128GB),"240,24 €"
Xiaomi Redmi 7 (32GB),"115,85 €"
Xiaomi Mi A2 (64GB),"137,90 €"
Samsung Galaxy A70 Dual (128GB),"291,78 €"
Xiaomi Redmi 6A (16GB),"74,50 €"
Xiaomi Pocophone F1 (64GB),"245,90 €"
Xiaomi Redmi Note 5 (64GB),"144,85 €"
Apple iPhone 8 Plus (64GB),"604,60 €"
Samsung Galaxy A40 Dual (64GB),"184,40 €"
Samsung Galaxy S10+ Dual (128GB),"628,00 €"
Huawei P20 Lite Dual (64GB),"169,70 €"
Apple iPhone XR (64GB),"664,60 €"
Xiaomi Redmi Note 7 (32GB),"144,45 €"
Xiaomi Redmi 6 (32GB),"102,80 €"
Xiaomi Redmi Note 6 Pro (32GB),"134,50 €"
Huawei Mate 20 Lite Dual (4GB/64GB),"179,30 €"
Samsung Galaxy S10 Dual (128GB),"565,86 €"
Samsung Galaxy S10e Dual (128GB),"450,00 €"
Apple iPhone 7 (32GB),"371,71 €"
Samsung Galaxy S9+ Dual (64GB),"455,07 €"
Apple iPhone XS Max (64GB),"972,00 €"
Xiaomi Mi 8 Lite (64GB),"152,30 €"
Samsung Galaxy Note 9 Dual (128GB),"587,99 €"
Apple iPhone XS (64GB),"901,39 €"
Apple iPhone XR (128GB),"763,60 €"
Samsung Galaxy A7 (2018) Dual (64GB),"253,68 €"
Xiaomi Mi A2 Lite (64GB),"137,10 €"
Xiaomi Pocophone F1 (128GB),"279,00 €"
Huawei P20 Pro Dual (128GB),"413,60 €"
Xiaomi Redmi 7 (64GB),"128,20 €"
Apple iPhone 8 (64GB),"521,64 €"
Samsung Galaxy A6 (2018) Dual (32GB),"169,75 €"
Xiaomi Mi 8 (64GB),"275,40 €"
Huawei P30 Dual (128GB),"471,70 €"
Huawei P30 Lite Dual (128GB),"256,80 €"
Apple iPhone XS Max (256GB),"1.138,10 €"
Apple iPhone 7 Plus (32GB),"460,00 €"
Honor 10 (64GB),"205,05 €"
Xiaomi Mi 9 (128GB),"418,95 €"
Apple iPhone X (64GB),"770,00 €"
Samsung Galaxy S9 Dual (64GB),"421,50 €"
Xiaomi Mi A2 Lite (32GB),"119,80 €"
Huawei P Smart 2019 (64GB),"154,75 €"
Xiaomi Mi 8 (128GB),"317,90 €"
Xiaomi Redmi Note 7 (128GB),"193,90 €"
Xiaomi Mi 9 (64GB),"370,30 €"
Apple iPhone 6s (32GB),"278,50 €"
Samsung Galaxy A20e Dual (32GB),"133,12 €"
Apple iPhone XS (256GB),"1.045,10 €"
Samsung Galaxy A9 2018 Dual (128GB),"312,40 €"
Xiaomi Mi Play (64GB),"132,00 €"
Xiaomi Redmi 6A (2GB/32GB),"95,80 €"
Xiaomi Mi 9 SE (128GB),"302,30 €"
Xiaomi Redmi 7 (16GB),"97,30 €"
Honor 8X (64GB),"192,55 €"
Xiaomi Mi 8 Lite (128GB),"204,90 €"
Honor Play (64GB),"199,75 €"
Huawei P30 Pro Dual (256GB),"814,60 €"
Xiaomi Redmi Note 5 (32GB),"137,85 €"
Samsung Galaxy A6+ (2018) Dual (32GB),"191,35 €"
Samsung Galaxy J6 Dual (32GB),"157,80 €"
Samsung Galaxy A10 Dual (32GB),"124,00 €"
Samsung Galaxy S8 (64GB),"411,00 €"
Apple iPhone XS (512GB),"1.157,50 €"
Samsung Galaxy Note 8 Dual (64GB),"419,15 €"
Xiaomi Redmi Go (8GB),"59,95 €"
Honor 8X / View 10 Lite (128GB),"212,60 €"
Xiaomi Mi A2 (128GB),"195,35 €"
Xiaomi Mi Max 3 (64GB),"211,85 €"
Xiaomi Mi 9 SE (64GB),"269,24 €"
Huawei P20 Dual (64GB),"315,10 €"
OnePlus 7 Pro (8GB/256GB),"798,00 €"
Samsung Galaxy S9+ (64GB),"455,50 €"
Samsung Galaxy S8+ (64GB),"421,90 €"
Huawei Y7 2019 (32GB),"154,65 €"
Apple iPhone X (256GB),"904,60 €"
Huawei Mate 20 Dual (4GB/128GB),"380,90 €"
Xiaomi Mi 8 Pro (8GB/128GB),"360,47 €"
OnePlus 6T (8GB/128GB),"485,00 €"
Samsung Galaxy Note 9 Dual (512GB),"750,10 €"
Samsung Galaxy J6+ Dual (32GB),"154,84 €"
Xiaomi Redmi S2 (32GB),"131,99 €"
Xiaomi Redmi 5 Plus (64GB),"169,90 €"
Xiaomi Mi Mix 3 (128GB),"394,00 €"
Honor View 20 (128GB),"373,00 €"
Xiaomi Mi A2 (32GB),"144,94 €"
ZTE Nubia V18 (64GB),"144,90 €"
AGM A9 (64GB),"269,00 €"
Nokia 5.1 Plus (32GB),"148,98 €"
Huawei Mate 20 Pro (128GB),"520,70 €"
Xiaomi Redmi 6 (4GB/64GB),"123,50 €"
Cubot Power (128GB),"213,99 €"
LG V40 ThinQ Dual (128GB),"509,99 €"
Razer Phone 2 (64GB),"433,00 €"
Huawei P Smart Dual (32GB),"147,25 €"
Xiaomi Redmi 6 (3GB/64GB),"132,40 €"
BlackView A60 (16GB),"64,65 €"
LG G7 ThinQ (64GB),"324,65 €"
Apple iPhone 7 Plus (128GB),"561,10 €"
Apple iPhone 7 (128GB),"504,10 €"
Xiaomi Redmi S2 (64GB),"172,99 €"
OnePlus 5T (8GB/128GB),"447,00 €"
Xiaomi Mi A1 (64GB),"143,05 €"
Samsung Galaxy J4+ Dual (2GB/32GB),"136,39 €"
Xiaomi Redmi 5 Plus (32GB),"178,00 €"
